[05/11/2023 16:10:31 - INFO] Discord Presence activated
[05/11/2023 16:10:31 - INFO] Creating discord-rpc client
[05/11/2023 16:10:31 - INFO] Successfully connected to Discord
[05/11/2023 16:10:31 - DEBUG] Loading git extension
[05/11/2023 16:10:31 - TRACE] VSCode language id: shellscript
[05/11/2023 16:10:31 - TRACE] VSCode language id: shellscript
[05/11/2023 16:10:33 - TRACE] VSCode language id: shellscript
[05/11/2023 16:11:33 - TRACE] VSCode language id: shellscript
[05/11/2023 16:11:35 - TRACE] VSCode language id: shellscript
[05/11/2023 16:11:52 - TRACE] VSCode language id: shellscript
[05/11/2023 16:11:54 - TRACE] VSCode language id: shellscript
[05/11/2023 16:14:40 - TRACE] VSCode language id: shellscript
[05/11/2023 16:14:42 - TRACE] VSCode language id: shellscript
[05/11/2023 16:17:16 - TRACE] VSCode language id: shellscript
[05/11/2023 16:17:18 - TRACE] VSCode language id: shellscript
[05/11/2023 16:17:20 - TRACE] VSCode language id: shellscript
[05/11/2023 16:17:22 - TRACE] VSCode language id: shellscript
[05/11/2023 16:17:34 - TRACE] VSCode language id: shellscript
[05/11/2023 16:17:36 - TRACE] VSCode language id: shellscript
[05/11/2023 16:17:39 - TRACE] VSCode language id: shellscript
[05/11/2023 16:18:22 - TRACE] VSCode language id: shellscript
[05/11/2023 16:18:24 - TRACE] VSCode language id: shellscript
[05/11/2023 16:18:26 - TRACE] VSCode language id: shellscript
[05/11/2023 16:18:47 - TRACE] VSCode language id: shellscript
[05/11/2023 16:18:49 - TRACE] VSCode language id: shellscript
[05/11/2023 16:18:51 - TRACE] VSCode language id: shellscript
[05/11/2023 16:18:53 - TRACE] VSCode language id: shellscript
[05/11/2023 16:19:07 - TRACE] VSCode language id: shellscript
[05/11/2023 16:19:10 - TRACE] VSCode language id: shellscript
[05/11/2023 16:20:12 - TRACE] VSCode language id: shellscript
[05/11/2023 16:20:14 - TRACE] VSCode language id: shellscript
[05/11/2023 16:20:55 - TRACE] VSCode language id: shellscript
[05/11/2023 16:20:57 - TRACE] VSCode language id: shellscript
[05/11/2023 16:20:59 - TRACE] VSCode language id: shellscript
[05/11/2023 16:21:07 - TRACE] VSCode language id: shellscript
[05/11/2023 16:21:11 - TRACE] VSCode language id: shellscript
[05/11/2023 16:21:13 - TRACE] VSCode language id: shellscript
[05/11/2023 16:21:16 - TRACE] VSCode language id: shellscript
[05/11/2023 16:21:18 - TRACE] VSCode language id: shellscript
[05/11/2023 16:21:23 - TRACE] VSCode language id: shellscript
[05/11/2023 16:21:25 - TRACE] VSCode language id: shellscript
[05/11/2023 16:21:28 - TRACE] VSCode language id: shellscript
[05/11/2023 16:21:30 - TRACE] VSCode language id: shellscript
[05/11/2023 16:21:34 - TRACE] VSCode language id: shellscript
[05/11/2023 16:21:36 - TRACE] VSCode language id: shellscript
[05/11/2023 16:22:15 - TRACE] VSCode language id: shellscript
[05/11/2023 16:22:17 - TRACE] VSCode language id: shellscript
[05/11/2023 16:22:19 - TRACE] VSCode language id: shellscript
[05/11/2023 16:22:22 - TRACE] VSCode language id: shellscript
[05/11/2023 16:22:24 - TRACE] VSCode language id: shellscript
[05/11/2023 16:25:21 - TRACE] VSCode language id: shellscript
[05/11/2023 16:25:23 - TRACE] VSCode language id: shellscript
[05/11/2023 16:25:26 - TRACE] VSCode language id: shellscript
[05/11/2023 16:25:28 - TRACE] VSCode language id: shellscript
