Country;City;TCP;UDP;STEALTH;BITTORRENT;LATITUDE;LONGITUDE
ARE;Dubai;TorGuard.UnitedArabEmirates-Dubai-NO-TORRENTS-UDP.ovpn;TorGuard.UnitedArabEmirates-Dubai-NO-TORRENTS-TCP.ovpn;NO;NO;25.2645;55.3117;NO
ARG;Buenos Aires;TorGuard.Argentina-BuenosAires-NO-TORRENTS-UDP.ovpn;TorGuard.Argentina-BuenosAires-NO-TORRENTS-TCP.ovpn;NO;NO;-34.920345;-57.969559;NO
AUS;Sydney;TorGuard.Australia-Sydney-NO-TORRENTS-UDP.ovpn;TorGuard.Australia-Sydney-NO-TORRENTS-TCP.ovpn;NO;NO;-33.8650;151.2094;NO
AUT;Vienna;TorGuard.Austria-Vienna-NO-TORRENTS-UDP.ovpn;TorGuard.Austria-Vienna-NO-TORRENTS-TCP.ovpn;NO;NO;48.2082;16.3738;NO
BEL;Brussels;TorGuard.Belgium-Brussels-NO-TORRENTS-UDP.ovpn;TorGuard.Belgium-Brussels-NO-TORRENTS-TCP.ovpn;NO;NO;50.8503;4.3517;NO
BGR;Sofia;TorGuard.Bulgaria-Sofia-NO-TORRENTS-UDP.ovpn;TorGuard.Bulgaria-Sofia-NO-TORRENTS-TCP.ovpn;NO;NO;42.6975;23.3242;NO
BRA;Sao Paulo 1;TorGuard.Brazil-SaoPaulo1-NO-TORRENTS-UDP.ovpn;TorGuard.Brazil-SaoPaulo1-NO-TORRENTS-TCP.ovpn;NO;NO;-23.5500;-46.6333;NO
BRA;Sao Paulo 2;TorGuard.Brazil-SaoPaulo2-NO-TORRENTS-UDP.ovpn;TorGuard.Brazil-SaoPaulo2-NO-TORRENTS-TCP.ovpn;NO;NO;-23.5500;-46.6333;NO
CAN;Montreal;TorGuard.Canada-Montreal-UDP.ovpn;TorGuard.Canada-Montreal-TCP.ovpn;NO;YES;45.508888;-73.561668;NO
CAN;Toronto;TorGuard.Canada-Toronto-UDP.ovpn;TorGuard.Canada-Toronto-TCP.ovpn;NO;YES;43.7000;-79.4000;NO
CAN;Vancouver;TorGuard.Canada-Vancouver-UDP.ovpn;TorGuard.Canada-Vancouver-TCP.ovpn;NO;YES;49.2827;-123.1207;NO
CHE;Zurich;TorGuard.Switzerland-Zurich-UDP.ovpn;TorGuard.Switzerland-Zurich-TCP.ovpn;NO;YES;47.3667;8.5500;NO
CHL;Vina del Mar;TorGuard.Chile-VinadelMar-NO-TORRENTS-UDP.ovpn;TorGuard.Chile-VinadelMar-NO-TORRENTS-TCP.ovpn;NO;NO;-35.6751;-71.5430;NO
CYP;Limassol;TorGuard.Cyprus-Limassol-NO-TORRENTS-UDP.ovpn;TorGuard.Cyprus-Limassol-NO-TORRENTS-TCP.ovpn;NO;NO;34.674975;33.033244;NO
CZE;Prague;TorGuard.CzechRepublic-Prague-UDP.ovpn;TorGuard.CzechRepublic-Prague-TCP.ovpn;NO;YES;50.0833;14.4167;NO
DEU;Frankfurt;TorGuard.Germany-Frankfurt-NO-TORRENTS-UDP.ovpn;TorGuard.Germany-Frankfurt-NO-TORRENTS-TCP.ovpn;NO;NO;50.1167;8.6833;NO
