2023-06-24 12:55:44,469 | INFO | ulauncher: main() | Ulauncher version 5.15.2
2023-06-24 12:55:44,470 | INFO | ulauncher: main() | Extension API version 2.0.0
2023-06-24 12:55:44,470 | INFO | ulauncher: main() | GTK+ 3.24.38
2023-06-24 12:55:44,470 | INFO | ulauncher: main() | Is Wayland: True
2023-06-24 12:55:44,470 | INFO | ulauncher: main() | Wayland compatibility: off
2023-06-24 12:55:44,500 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2023-06-24 12:55:44,503 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2023-06-24 12:55:44,503 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2023-06-24 12:55:44,503 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2023-06-24 12:55:44,504 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2023-06-24 12:55:44,505 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2023-06-24 12:55:44,505 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2023-06-24 12:55:44,505 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2023-06-24 12:55:44,505 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2023-06-24 12:55:44,505 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2023-06-24 12:55:44,506 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2023-06-24 12:55:44,506 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 2560, H: 1440
2023-06-24 12:55:44,523 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2023-06-24 12:55:44,527 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2023-06-24 12:55:44,528 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2023-06-24 12:55:44,546 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: Super_L
2023-06-24 12:55:44,571 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.kgpg.desktop": constructor returned NULL
2023-06-24 12:55:44,576 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.yakuake.desktop": constructor returned NULL
2023-06-24 12:55:44,585 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 113 apps in cache
2023-06-24 12:55:44,593 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.kded5.desktop": constructor returned NULL
2023-06-24 12:55:44,598 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.kwin_rules_dialog.desktop": constructor returned NULL
2023-06-24 12:55:44,602 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.kdeconnect_open.desktop": constructor returned NULL
2023-06-24 12:55:44,606 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_chm.desktop": constructor returned NULL
2023-06-24 12:55:44,607 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_comicbook.desktop": constructor returned NULL
2023-06-24 12:55:44,607 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_djvu.desktop": constructor returned NULL
2023-06-24 12:55:44,607 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.mobile.okular_dvi.desktop": constructor returned NULL
